filename,path,duration,sample_rate,channels
Kulintang_Gong_04_den(4).wav,preprocessing\Kulintang_Gong_04_den(4).wav,2.35625,48000,1
Kulintang_Gong_04_den(5).wav,preprocessing\Kulintang_Gong_04_den(5).wav,1.9311666666666667,48000,1
Kulintang_Gong_04_den(6).wav,preprocessing\Kulintang_Gong_04_den(6).wav,1.5324166666666668,48000,1
Kulintang_Gong_04_den(7).wav,preprocessing\Kulintang_Gong_04_den(7).wav,1.7613333333333334,48000,1
Kulintang_Gong_04_den(8).wav,preprocessing\Kulintang_Gong_04_den(8).wav,1.4653125,48000,1
Kulintang_Gong_05_den(2).wav,preprocessing\Kulintang_Gong_05_den(2).wav,1.5516875,48000,1
Kulintang_Gong_05_den(3).wav,preprocessing\Kulintang_Gong_05_den(3).wav,1.8410833333333334,48000,1
Kulintang_Gong_05_den(4).wav,preprocessing\Kulintang_Gong_05_den(4).wav,1.8066875,48000,1
Kulintang_Gong_05_den(5).wav,preprocessing\Kulintang_Gong_05_den(5).wav,1.883,48000,1
Kulintang_Gong_05_den(6).wav,preprocessing\Kulintang_Gong_05_den(6).wav,1.9523541666666666,48000,1
Kulintang_Gong_05_den(7).wav,preprocessing\Kulintang_Gong_05_den(7).wav,2.1715416666666667,48000,1
Kulintang_Gong_05_den(8).wav,preprocessing\Kulintang_Gong_05_den(8).wav,2.193416666666667,48000,1
Kulintang_Gong_06_den(2).wav,preprocessing\Kulintang_Gong_06_den(2).wav,2.0059791666666666,48000,1
Kulintang_Gong_06_den(3).wav,preprocessing\Kulintang_Gong_06_den(3).wav,1.8385,48000,1
Kulintang_Gong_06_den(4).wav,preprocessing\Kulintang_Gong_06_den(4).wav,1.8988333333333334,48000,1
Kulintang_Gong_06_den(5).wav,preprocessing\Kulintang_Gong_06_den(5).wav,1.9207916666666667,48000,1
Kulintang_Gong_06_den(6).wav,preprocessing\Kulintang_Gong_06_den(6).wav,1.7344583333333334,48000,1
Kulintang_Gong_06_den(7).wav,preprocessing\Kulintang_Gong_06_den(7).wav,1.7671875,48000,1
Kulintang_Gong_06_den(8).wav,preprocessing\Kulintang_Gong_06_den(8).wav,1.8093125,48000,1
Kulintang_Gong_07_den(2).wav,preprocessing\Kulintang_Gong_07_den(2).wav,1.5808333333333333,48000,1
Kulintang_Gong_07_den(3).wav,preprocessing\Kulintang_Gong_07_den(3).wav,1.8103125,48000,1
Kulintang_Gong_07_den(4).wav,preprocessing\Kulintang_Gong_07_den(4).wav,1.9526041666666667,48000,1
Kulintang_Gong_07_den(5).wav,preprocessing\Kulintang_Gong_07_den(5).wav,1.84075,48000,1
Kulintang_Gong_07_den(6).wav,preprocessing\Kulintang_Gong_07_den(6).wav,2.2155416666666667,48000,1
Kulintang_Gong_07_den(7).wav,preprocessing\Kulintang_Gong_07_den(7).wav,2.3834375,48000,1
Kulintang_Gong_07_den(8).wav,preprocessing\Kulintang_Gong_07_den(8).wav,1.9824791666666666,48000,1
Kulintang_Gong_08_den(2).wav,preprocessing\Kulintang_Gong_08_den(2).wav,1.7311875,48000,1
Kulintang_Gong_08_den(3).wav,preprocessing\Kulintang_Gong_08_den(3).wav,1.9588333333333334,48000,1
Kulintang_Gong_08_den(4).wav,preprocessing\Kulintang_Gong_08_den(4).wav,2.8783125,48000,1
Kulintang_Gong_08_den(5).wav,preprocessing\Kulintang_Gong_08_den(5).wav,1.5421875,48000,1
Kulintang_Gong_08_den(6).wav,preprocessing\Kulintang_Gong_08_den(6).wav,1.6891875,48000,1
Kulintang_Gong_08_den(7).wav,preprocessing\Kulintang_Gong_08_den(7).wav,1.9127291666666666,48000,1
Tongatong_01_Closed_den(2).wav,preprocessing\Tongatong_01_Closed_den(2).wav,0.5505625,48000,1
Tongatong_01_Closed_den(3).wav,preprocessing\Tongatong_01_Closed_den(3).wav,0.7012916666666666,48000,1
Tongatong_01_Closed_den(4).wav,preprocessing\Tongatong_01_Closed_den(4).wav,0.6163541666666666,48000,1
Tongatong_01_Closed_den(5).wav,preprocessing\Tongatong_01_Closed_den(5).wav,0.7103541666666666,48000,1
Tongatong_01_Closed_den(6).wav,preprocessing\Tongatong_01_Closed_den(6).wav,1.5901666666666667,48000,1
Tongatong_01_Closed_den(7).wav,preprocessing\Tongatong_01_Closed_den(7).wav,1.7495208333333334,48000,1
Tongatong_01_Closed_den(8).wav,preprocessing\Tongatong_01_Closed_den(8).wav,1.2865625,48000,1
Tongatong_01_Open_den(2).wav,preprocessing\Tongatong_01_Open_den(2).wav,0.6783541666666667,48000,1
Tongatong_01_Open_den(3).wav,preprocessing\Tongatong_01_Open_den(3).wav,0.8170833333333334,48000,1
Tongatong_01_Open_den(4).wav,preprocessing\Tongatong_01_Open_den(4).wav,0.7105625,48000,1
Tongatong_01_Open_den(5).wav,preprocessing\Tongatong_01_Open_den(5).wav,0.8462083333333333,48000,1
Tongatong_01_Open_den(6).wav,preprocessing\Tongatong_01_Open_den(6).wav,0.9654583333333333,48000,1
Tongatong_01_Open_den(7).wav,preprocessing\Tongatong_01_Open_den(7).wav,1.2002291666666667,48000,1
Tongatong_02_Closed_den(02).wav,preprocessing\Tongatong_02_Closed_den(02).wav,0.5050416666666667,48000,1
Tongatong_02_Closed_den(03).wav,preprocessing\Tongatong_02_Closed_den(03).wav,0.402,48000,1
Tongatong_02_Closed_den(04).wav,preprocessing\Tongatong_02_Closed_den(04).wav,0.6044166666666667,48000,1
Tongatong_02_Closed_den(05).wav,preprocessing\Tongatong_02_Closed_den(05).wav,0.62825,48000,1
Tongatong_02_Closed_den(06).wav,preprocessing\Tongatong_02_Closed_den(06).wav,0.8044583333333334,48000,1
Tongatong_02_Closed_den(07).wav,preprocessing\Tongatong_02_Closed_den(07).wav,0.9008958333333333,48000,1
Tongatong_02_Closed_den(08).wav,preprocessing\Tongatong_02_Closed_den(08).wav,0.885125,48000,1
Tongatong_02_Closed_den(09).wav,preprocessing\Tongatong_02_Closed_den(09).wav,0.9881875,48000,1
Tongatong_02_Closed_den(10).wav,preprocessing\Tongatong_02_Closed_den(10).wav,0.8463125,48000,1
